m_iHMissionType,m_iHMissionID,m_iHMissionName,m_iHTaskType,m_iHTaskID,m_iHNPCID,m_iHJournalNPCID,m_iHTerminatorNPCID,m_iHDifficultyType,m_iHBarkerTextID,m_iHCurrentObjective,m_iRequireInstanceID,m_iRepeatflag,m_iKorStReqLvlMin,m_iCTRReqLvMin,m_iCTRReqLvMax,m_iCSTRReqNano,m_iCSTReqGuide,m_iCSTReqMission,m_iCSTEntranceGroupMin,m_iCSTEntranceGroupMax,m_iCSTItemID,m_iCSTItemNumNeeded,m_iCSTTrigger,m_iCSUCheckTimer,m_iCSUEnemyID,m_iCSUNumToKill,m_iCSUItemID,m_iCSUItemNumNeeded,m_iCSUDEFNPCID,m_iCSUDEFNPCAI,m_iCSUDEPNPCFollow,m_iSTGrantTimer,m_iSTItemID,m_iSTItemNumNeeded,m_iSTItemDropRate,m_iSTGrantWayPoint,m_iSTSpawnMonsterID,m_iSTSpwanLocation,m_iSTMessageType,m_iSTMessageTextID,m_iSTMessageSendNPC,m_iSTDialogBubble,m_iSTDialogBubbleNPCID,m_iSTJournalIDAdd,m_pstrSTScript,m_iSTNanoID,m_iKorSuccRewardID,m_iSUReward,m_iSUOutgoingMission,m_iSUOutgoingTask,m_iSUItem,m_iSUInstancename,m_iSUMessageType,m_iSUMessagetextID,m_iSUMessageSendNPC,m_iSUDialogBubble,m_iSUDialogBubbleNPCID,m_iSUJournaliDAdd,m_iFOutgoingMission,m_iFOutgoingTask,m_iFItemID,m_iFItemNumNeeded,m_iFMessageType,m_iFMessageTextID,m_iFMessageSendNPC,m_iFDialogBubble,m_iFDialogBubbleNPCID,m_iFJournalIDAdd,m_iDelItemID,m_iMentorEmailID
3,4,257,4,44,701,701,713,0,"[0, 0, 0, 0]",263,0,0,21,7,0,"[0, 0, 0, 0, 0]",0,"[3, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[34, 0, 0]","[1, 0, 0]",0,0,0,0,"[34, 0, 0]","[1, 0, 0]","[0, 0, 0]",713,0,0,0,0,0,0,0,44,0,0,0,0,0,45,"[0, 0, 0]","[0, 0, 0]",0,0,0,264,713,44,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,4,257,4,45,0,701,707,0,"[0, 0, 0, 0]",266,0,0,21,7,0,"[0, 0, 0, 0, 0]",0,"[3, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[34, 0, 0]","[1, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",707,0,0,0,0,0,0,0,45,0,0,0,0,0,46,"[0, 0, 0]","[0, 0, 0]",0,0,0,267,707,45,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,4,257,4,46,0,701,701,0,"[271, 272, 273, 274]",269,0,0,21,7,0,"[0, 0, 0, 0, 0]",0,"[3, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[34, 0, 0]","[1, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",701,0,0,0,0,0,0,0,46,0,0,0,14,0,0,"[34, 0, 0]","[-1, 0, 0]",0,0,0,270,701,46,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,5,142,3,25,701,701,803,1,"[0, 0, 0, 0]",148,0,0,21,7,0,"[0, 0, 0, 0, 0]",0,"[4, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",803,0,0,0,0,0,0,0,25,0,0,0,0,0,26,"[0, 0, 0]","[0, 0, 0]",2,149,701,0,0,25,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,5,142,1,26,0,701,708,1,"[0, 0, 0, 0]",151,0,0,21,7,0,"[0, 0, 0, 0, 0]",0,"[4, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",708,0,0,2,2712,701,0,0,26,0,0,0,0,0,500,"[0, 0, 0]","[0, 0, 0]",0,0,0,152,708,26,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,5,142,1,27,0,701,708,0,"[0, 0, 0, 0]",2714,0,0,21,7,0,"[0, 0, 0, 0, 0]",0,"[4, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",708,0,0,2,2715,701,0,0,500,0,0,0,0,0,500,"[0, 0, 0]","[0, 0, 0]",0,0,0,2716,708,500,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,5,142,1,500,0,701,701,1,"[157, 158, 159, 160]",154,0,0,21,7,0,"[0, 0, 0, 0, 0]",0,"[4, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,180,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,180,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",701,0,0,2,155,701,0,0,27,0,0,0,8,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,156,701,27,0,27,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,6,279,2,47,701,701,873,0,"[0, 0, 0, 0]",284,0,0,21,7,0,"[0, 0, 0, 0, 0]",0,"[5, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",873,0,0,0,0,0,0,0,47,0,0,0,0,0,48,"[0, 0, 0]","[0, 0, 0]",2,285,701,0,0,47,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,6,279,5,48,0,701,0,0,"[0, 0, 0, 0]",286,0,0,21,7,0,"[0, 0, 0, 0, 0]",0,"[5, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[293, 0, 0]","[6, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",873,0,0,0,0,0,0,0,48,0,0,0,0,0,49,"[35, 0, 0]","[1, 0, 0]",2,287,701,0,0,48,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,6,279,4,49,0,701,705,0,"[292, 293, 294, 295]",289,0,0,21,7,0,"[0, 0, 0, 0, 0]",0,"[5, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[35, 0, 0]","[1, 0, 0]",0,0,0,0,"[35, 0, 0]","[0, 0, 0]","[0, 0, 0]",705,0,0,2,290,701,0,0,49,0,0,0,15,0,0,"[35, 0, 0]","[-1, 0, 0]",0,0,0,291,705,49,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,7,16,3,3,704,704,814,1,"[0, 0, 0, 0]",22,0,0,12,4,0,"[0, 0, 0, 0, 0]",0,"[0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",814,0,0,0,0,0,0,0,3,0,0,0,0,0,4,"[0, 0, 0]","[0, 0, 0]",2,23,704,0,0,3,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,7,16,5,4,0,704,0,1,"[0, 0, 0, 0]",25,0,0,12,4,0,"[0, 0, 0, 0, 0]",0,"[0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[274, 0, 0]","[0, 0, 0]","[24, 0, 0]","[1, 0, 0]",0,0,0,0,"[24, 0, 0]","[0, 0, 0]","[25, 0, 0]",876,0,0,2,2717,704,0,0,4,0,0,0,0,0,5,"[0, 0, 0]","[0, 0, 0]",2,26,704,0,0,4,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,7,16,4,5,0,704,704,1,"[0, 0, 0, 0]",28,0,0,12,4,0,"[0, 0, 0, 0, 0]",0,"[0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[24, 0, 0]","[1, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",704,0,0,0,0,0,0,0,5,0,0,0,0,0,6,"[24, 25, 0]","[-1, 1, 0]",0,0,0,29,704,5,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,7,16,3,6,0,704,814,1,"[0, 0, 0, 0]",31,0,0,12,4,0,"[0, 0, 0, 0, 0]",0,"[0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",814,0,0,0,0,0,32,704,6,0,0,0,0,0,501,"[25, 0, 0]","[-1, 0, 0]",2,33,704,0,0,6,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,7,16,3,7,0,704,814,1,"[0, 0, 0, 0]",2719,0,0,12,4,0,"[0, 0, 0, 0, 0]",0,"[0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",814,0,0,2,2720,704,0,0,501,0,0,0,0,0,501,"[0, 0, 0]","[0, 0, 0]",2,2721,704,0,0,501,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,7,16,5,501,0,704,0,1,"[0, 0, 0, 0]",36,0,0,12,4,0,"[0, 0, 0, 0, 0]",0,"[0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,180,"[274, 0, 0]","[8, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,180,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",876,0,0,2,35,704,0,0,7,0,0,0,0,0,677,"[0, 0, 0]","[0, 0, 0]",2,37,704,0,0,7,0,7,"[0, 0, 0]","[0, 0, 0]",2,38,704,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,7,16,1,677,0,704,704,1,"[39, 40, 41, 42]",11036,0,0,12,4,0,"[0, 0, 0, 0, 0]",0,"[0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",704,0,0,2,11037,704,0,0,677,0,0,0,22,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,11038,704,677,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,8,161,3,28,718,718,808,0,"[0, 0, 0, 0]",167,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",808,0,0,0,0,0,0,0,28,0,0,0,0,0,29,"[30, 0, 0]","[1, 0, 0]",2,168,718,0,0,28,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,8,161,4,29,0,718,718,0,"[172, 173, 174, 175]",170,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[30, 0, 0]","[1, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",718,0,0,0,0,0,0,0,29,0,0,0,9,0,0,"[30, 0, 0]","[-1, 0, 0]",0,0,0,171,718,29,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,9,176,3,30,718,718,3040,0,"[0, 0, 0, 0]",182,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[8, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",3040,0,0,0,0,0,0,0,30,0,0,0,0,0,32,"[0, 0, 0]","[0, 0, 0]",2,183,712,0,0,30,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,9,176,1,32,0,718,718,0,"[192, 193, 194, 195]",189,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[8, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",718,0,0,2,190,718,0,0,32,0,0,0,10,0,0,"[31, 0, 0]","[-1, 0, 0]",0,0,0,191,718,32,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,10,196,2,33,718,718,880,1,"[0, 0, 0, 0]",202,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[9, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",880,0,0,0,0,0,0,0,33,0,0,0,0,0,35,"[0, 0, 0]","[0, 0, 0]",2,203,718,0,0,33,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,10,196,2,34,0,718,881,1,"[0, 0, 0, 0]",205,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[9, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",881,0,0,2,2722,718,0,0,34,0,0,0,0,0,35,"[0, 0, 0]","[0, 0, 0]",2,206,718,0,0,34,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,10,196,5,35,0,718,0,1,"[0, 0, 0, 0]",208,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[9, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[114, 0, 0]","[0, 0, 0]","[32, 0, 0]","[1, 0, 0]",0,0,0,0,"[32, 0, 0]","[0, 0, 0]","[50, 0, 0]",881,0,0,0,0,0,0,0,35,0,0,0,0,0,36,"[0, 0, 0]","[0, 0, 0]",2,209,718,0,0,35,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,10,196,4,36,0,718,718,1,"[213, 214, 215, 216]",211,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[9, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[32, 0, 0]","[1, 0, 0]",0,0,0,0,"[32, 0, 0]","[0, 0, 0]","[0, 0, 0]",718,0,0,2,2723,718,0,0,36,0,0,0,11,0,0,"[32, 0, 0]","[-1, 0, 0]",0,0,0,212,718,36,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,11,296,5,50,718,718,0,1,"[0, 0, 0, 0]",305,0,0,24,8,0,"[0, 0, 0, 0, 0]",0,"[0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[300, 0, 0]","[0, 0, 0]","[36, 0, 0]","[1, 0, 0]",0,0,0,0,"[36, 0, 0]","[0, 0, 0]","[30, 0, 0]",888,0,0,0,0,0,0,0,51,0,0,0,0,0,53,"[0, 0, 0]","[0, 0, 0]",2,306,718,0,0,51,0,51,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,11,296,2,51,0,718,883,1,"[0, 0, 0, 0]",302,0,0,24,8,0,"[0, 0, 0, 0, 0]",0,"[0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",883,0,0,0,0,0,0,0,50,0,0,0,0,0,50,"[0, 0, 0]","[0, 0, 0]",2,303,718,0,0,50,0,50,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,11,296,3,52,0,718,657,1,"[0, 0, 0, 0]",309,0,0,24,8,0,"[0, 0, 0, 0, 0]",0,"[0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",657,0,0,2,310,718,0,0,52,0,0,0,0,0,53,"[0, 0, 0]","[0, 0, 0]",2,311,718,0,0,52,0,52,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,11,296,5,53,0,718,0,1,"[0, 0, 0, 0]",314,0,0,24,8,0,"[0, 0, 0, 0, 0]",0,"[0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[302, 0, 0]","[0, 0, 0]","[37, 0, 0]","[1, 0, 0]",0,0,0,0,"[37, 0, 0]","[0, 0, 0]","[30, 0, 0]",884,0,0,0,0,0,0,0,53,0,0,0,0,0,54,"[0, 0, 0]","[0, 0, 0]",2,315,718,0,0,53,0,52,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
